Accept Cookies,Accetta i cookies
Custom Settings,Impostazioni personalizzate
Decline Cookies,Rifiuta i cookies
Accept all,Accetta tutto
Decline all,Rifiuta tutto
Save selection,Salva la selezione
More Information,Ulteriori informazioni
Allow all Cookies,Consenti tutti i cookies
Cookie Settings,Impostazioni dei cookie
Please select and accept your Cookies Group,Seleziona e accetta il tuo gruppo di cookie
Title Text Main,Titolo testo principale
Notification Text Main,Testo di notifica principale
"You can use any HTML-tags in this field. Please, mind the security.","Puoi utilizzare qualsiasi tag HTML in questo campo. Fai attenzione alla sicurezza."
Title Text Personalize,Titolo personalizzato
Notification Text Personalize,Personalizzazione del testo di notifica
